Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
303,118,2,0,1,4,141,8,11,0,44,61,22,3,0,8,51,1,512,11
304,125,1,0,3,2,126,4,18,0,69,81,7,3,0,7,31,2,515,15
305,142,2,2,5,0,129,6,16,1,29,63,7,1,0,7,25,1,469,15
306,116,0,0,2,2,209,4,18,2,18,50,10,3,1,5,48,1,515,11
307,125,0,2,8,3,166,2,17,0,37,57,22,2,0,4,51,2,533,18
308,119,0,0,7,1,191,5,15,0,23,59,8,0,0,5,35,1,489,10
309,101,1,1,4,5,198,1,13,2,37,44,8,2,0,10,44,3,496,13
310,105,5,1,3,1,107,2,17,4,40,59,16,2,0,4,44,1,446,9
311,98,2,0,7,6,183,5,19,0,27,45,8,0,2,13,45,2,483,9
312,103,5,1,6,1,135,8,13,0,22,57,9,2,0,2,19,3,411,7
313,88,0,0,5,3,211,5,24,4,34,71,13,4,0,4,38,0,547,20
314,104,1,1,4,3,217,12,16,1,40,58,16,0,0,5,32,3,546,15
331,101,0,1,2,2,101,6,22,8,34,48,7,2,0,22,18,2,413,10
332,113,4,2,8,3,119,5,31,2,46,60,12,5,0,16,37,2,497,11
333,96,3,1,4,0,95,4,15,1,41,55,7,2,1,8,26,2,384,17
334,88,1,2,4,2,143,2,26,1,24,49,12,2,0,5,34,0,425,7
335,108,1,1,9,10,126,4,28,2,19,57,9,4,0,16,32,3,469,13
336,80,12,2,2,11,163,7,19,3,38,77,7,1,1,9,47,2,536,15
337,121,6,2,5,4,137,9,16,1,34,53,5,4,1,17,36,0,478,4
338,152,5,0,4,5,140,2,17,3,50,40,29,3,0,22,45,8,551,14
339,105,1,1,1,2,125,8,16,0,39,59,15,3,0,11,44,1,442,8
